nome,id_aluno,dominio,email,matriculas
INES,113,@servicodoemail.com,ines@servicodoemail.com,1
NAIARA,96,@dominiodoemail.com.br,naiara@dominiodoemail.com.br,1
POLIANA,225,@servicodoemail.com,poliana@servicodoemail.com,2
DALVA,214,@servicodoemail.com,dalva@servicodoemail.com,3
LURDES,57,@servicodoemail.com,lurdes@servicodoemail.com,1
TERESA,123,@dominiodoemail.com.br,teresa@dominiodoemail.com.br,1
ZILDA,106,@servicodoemail.com,zilda@servicodoemail.com,1
LUCILENE,83,@servicodoemail.com,lucilene@servicodoemail.com,3
CLARA,17,@dominiodoemail.com.br,clara@dominiodoemail.com.br,1
ROSANE,230,@dominiodoemail.com.br,rosane@dominiodoemail.com.br,3
IVONETE,98,@servicodoemail.com,ivonete@servicodoemail.com,1
LUCIANE,322,@dominiodoemail.com.br,luciane@dominiodoemail.com.br,1
ISADORA,382,@dominiodoemail.com.br,isadora@dominiodoemail.com.br,2
NILZA,365,@servicodoemail.com,nilza@servicodoemail.com,1
